Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Buckingham,USA,Haskell class attack transport,,536.0,23 January 1945,scrapped 1974
Buckley,USA,Buckley,DE,1400.0,30 April 1943,scrapped 1969
Buctouche,Royal Canadian Navy,Flower,K,925.0,5 June 1941,paid off 15 June 1945
Buenos Aires,Argentine Navy,Buenos Aires,DD,1375.0,4 April 1938,1971
Bull,USA,Buckley,DE,1400.0,12 August 1943,"to Taiwan 1966, scrapped 1995"
Bullard,USA,Fletcher,DD,2050.0,9 April 1943,"decommissioned 1946, scrapped 1973"
Bulldog,ENG,B,DD,1350.0,8 April 1931,scrapped January 1946
Bulmer,USA,Clemson,DD,1200.0,16 August 1920,scrapped 1947
Bunch,USA,Buckley,DE,1400.0,21 August 1943,"decommissioned 1946, scrapped 1965"
Bunker Hill,USA,Essex,CV,30800.0,24 May 1943,"decommissioned 9 January 1947, scrapped 1973"
Burden R. Hastings,USA,Evarts,DE,1140.0,1 May 1943,scrapped 1946
Burdock,ENG,Flower,K,925.0,27 March 1941,
Burke,USA,Buckley,DE,1400.0,20 July 1943,"to Colombia 1968, scrapped 1974"
Burnet,Royal Navy  Royal Indian Navy,Flower modified,K,1015.0,23 September 1943,to RIN as Gondwana 15 May 1945
Burnham,ENG,Town,DD,1200.0,8 October 1940,scrapped 1948
Burns,USA,Fletcher,DD,2050.0,3 April 1943,"decommissioned 1946, sunk as target 1974"
Burrows,USA,Cannon,DE,1240.0,19 December 1943,"to Netherlands 1950, scrapped 1968"
Burwell,ENG,Town,DD,1200.0,8 October 1940,scrapped 1947
Burza,Poland,Wicher,DD,1400.0,10 July 1932,Scrapped 1977
Bush,USA,Fletcher,DD,2050.0,10 May 1943,sunk 6 April 1945
Butler,USA,Gleaves,DD,1630.0,15 August 1942,scrapped 1948
Buttercup,ENG,Flower,K,925.0,24 April 1942,"served RNSB, to Norway 20 December 1944"
Buxton,Royal Navy  Royal Canadian Navy,Town,DD,1215.0,8 October 1940,"to RCN August 1942 as HMCS Buxton, paid off 1945"
